             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          16488783  gpu_ss11 spectra_  jderose PD       0:00      1 (Priority)
          16473590  gpu_ss11 openfold kevqyzhu PD       0:00      1 (Priority)
          16473589  gpu_ss11 openfold kevqyzhu PD       0:00      1 (Priority)
          16470637  gpu_ss11 MP1600_2 jackiezy PD       0:00      8 (Priority)
          16469150  gpu_ss11    myjob adillali PD       0:00      1 (Priority)
          16489668  gpu_ss11   Eu_3rd jzhengap PD       0:00      4 (Priority)
          16490077  gpu_ss11   Eu_3rd jzhengap PD       0:00      4 (Priority)
          16490412  gpu_ss11  gfpsolv  asnider PD       0:00      1 (Priority)
          16490429  gpu_ss11  gfpsolv  asnider PD       0:00      1 (Priority)
          16490554  gpu_ss11 run_tdvp  kwang98 PD       0:00      1 (Priority)
          16491097  gpu_ss11 runme.sh     veis PD       0:00      1 (Priority)
          16480144  gpu_ss11 PMNT150d   kehanc PD       0:00      1 (Priority)
          16491110  gpu_ss11   run.sh  ccircos PD       0:00      1 (Priority)
          16488064  gpu_ss11    4_4_4   yuboqi PD       0:00      1 (Priority)
          16488065  gpu_ss11    4_5_0   yuboqi PD       0:00      1 (Priority)
          16491366  gpu_ss11  test_md      ppt PD       0:00      1 (Priority)
          16491381  gpu_ss11  test_md      ppt PD       0:00      1 (Priority)
          16491543  gpu_ss11 lte05900 hauschil PD       0:00      1 (Priority)
          16491541  gpu_ss11 lte05600 hauschil PD       0:00      1 (Priority)
          16492136  gpu_ss11      si8    vwzyu PD       0:00    256 (Priority)
          16451408  gpu_ss11 pm_submi   pmtuan PD       0:00      1 (Priority)
          16436389  gpu_ss11 pm_submi   pmtuan PD       0:00      1 (Priority)
          16492868  gpu_ss11     salt   jmw464 PD       0:00      1 (Priority)
          16493778  gpu_ss11   kernel   asmith PD       0:00     64 (Priority)
          16496425  gpu_ss11    nacl2      zcy PD       0:00      8 (Priority)
          16501778  gpu_ss11    WarpX  mgarten PD       0:00    512 (ReqNodeNotAvail, UnavailableNodes:nid[001072,001081,001172,001180-001181,001233,001340-001341,001344-001345,001349,001352-001353,001357,001360-001361,001364-001365,001368-001369,001373,001376,001381,001384-001385,001393,001397,001400,001404,001408,001412,001417,001421,001424-001425,001428,001432,001436-001437,001440,001444-001445,001448-001449,001452,001456-001457,001461,001464,001468-001469,001477,001481,001484-001485,001488-001489,001492-001493,001496,001500,001505,001508-001509,001512-001513,001517,001520-001521,001524,001528,001532-001533,001536-001537,001540-001541,001545,001548,001596-001597,001620,001637,001640-001641,001644-001645,001652-001653,001656,001661,001665,001668,001672-001673,001677,001680,001692,001696-001697,001708-001709,001713,001717,001724,001729,001732-001733,001736,001744,001749,001756-001757,001784,001824,001869,001872,002089,002169,002172-002173,002400-002401,002508-002509,002580-002581,002596-002597,002652,002692-002693,002696,002700-002701,002709,002729,002732,002740,002744,002748,002913,002964,003073,003136-003137,003145,003152-003153,003184,003188-003189,003248,003273,003349,003365,003388-003389,003532-003533,003680,003685,003696,003872-003873,004016-004017,004040-004041,004049,008393,008460,008473,008488-008489,008493,008541,008556-008557,008585,008660-008661,008664-008665,008700])
          16502882  gpu_ss11     Loop      yop PD       0:00      8 (Priority)
          16502895  gpu_ss11 submitJo rhuang94 PD       0:00      1 (Priority)
          16503068  gpu_ss11 parallel soge8904 PD       0:00      6 (Priority)
          16503093  gpu_ss11 training athomsen PD       0:00      1 (Priority)
          16503557  gpu_ss11 TREMDCon      mds PD       0:00    230 (Priority)
          16502898  gpu_ss11 submitJo rhuang94 PD       0:00      1 (Priority)
          16504660  gpu_ss11   1050k3     xgao PD       0:00      2 (Priority)
